Logged in as Trading Signal Bot#1902
Fetching messages from #paper-trading...
Fetched 730 messages.
Parsed 260 closed trades.
# Paper Trading Analysis

**Generated:** 3/29/2026, 10:34:49 AM
**Total Trades:** 260
**Win Rate:** 0.00% (0W/260L)
**Average R:** -0.95R
**Total P&L:** $-5241.00
**Final Equity:** $-4241.00
**Max Drawdown:** 524.10%

## Trade Details

| Asset | Direction | Entry | P&L ($) | R |
|-------|-----------|-------|--------|---|
| DOGE | ? | 0.0901 | -20.26 | -1.00 |
| BTC | ? | 66443.1566 | -23.50 | -1.00 |
| TAO | ? | 321.9252 | -21.79 | -1.00 |
| SOL | ? | 82.4258 | -29.36 | -1.00 |
| SOL | ? | 82.4158 | -29.42 | -1.00 |
| BTC | ? | 66604.9109 | -29.41 | -1.00 |
| BTC | ? | 66488.1161 | -30.42 | -1.00 |
| PEPE | ? | ? | -17.75 | -0.42 |
| TAO | ? | 318.4132 | -32.51 | -1.00 |
| AERO | ? | 0.3248 | 0.00 | 0.00 |
| SOL | ? | 82.3758 | -36.70 | -1.00 |
| ETH | ? | 2000.2085 | -35.99 | -1.00 |
| PEPE | ? | ? | -19.75 | -0.36 |
| SOL | ? | 82.4457 | -39.62 | -1.00 |
| TAO | ? | 323.1956 | -47.30 | -1.00 |
| SOL | ? | 82.888 | -44.13 | -1.00 |
| SOL | ? | 82.868 | -49.71 | -1.00 |
| BTC | ? | 67106.942 | -48.83 | -1.00 |
| XRP | ? | 1.3418 | -48.87 | -1.00 |
| ETH | ? | 2007.204 | 0.00 | 0.00 |
| BTC | ? | 66581.532 | -13.13 | -0.14 |
| XRP | ? | 1.3289 | -60.43 | -1.00 |
| SHIB | ? | ? | -57.19 | -1.00 |
| SOL | ? | 81.8563 | -59.98 | -1.00 |
| PEPE | ? | ? | -65.76 | -1.00 |
| BTC | ? | 66253.3276 | -60.90 | -1.00 |
| SOL | ? | 82.7455 | 0.00 | 0.00 |
| DOGE | ? | 0.0916 | 0.00 | 0.00 |
| DOGE | ? | 0.0916 | 0.00 | 0.00 |
| DOGE | ? | 0.0938 | 0.00 | 0.00 |
| XRP | ? | 1.389 | -19.52 | -1.00 |
| TAO | ? | 325.0274 | -19.52 | -1.00 |
| AERO | ? | 0.3184 | -19.52 | -1.00 |
| SHIB | ? | ? | -21.44 | -1.00 |
| ETH | ? | 2112.8223 | -21.44 | -1.00 |
| SOL | ? | 88.8478 | -22.81 | -1.00 |
| DOGE | ? | 0.0932 | 0.00 | 0.00 |
| XRP | ? | 1.404 | 0.00 | 0.00 |
| TAO | ? | 318.2226 | -19.64 | -1.00 |
| PEPE | ? | ? | -20.67 | -1.00 |
| BTC | ? | 70212.3686 | 0.00 | 0.00 |
| XRP | ? | 1.406 | 0.00 | 0.00 |
| SOL | ? | 89.7971 | -18.49 | -1.00 |
| BTC | ? | 69721.5581 | -18.49 | -1.00 |
| DOGE | ? | 0.0938 | 0.00 | 0.00 |
| ETH | ? | 2136.1043 | -19.50 | -1.00 |
| SOL | ? | 91.1838 | -19.50 | -1.00 |
| SOL | ? | 91.1838 | -19.50 | -1.00 |
| DOGE | ? | 0.0939 | -21.73 | -1.00 |
| BTC | ? | 71304.3331 | -22.87 | -1.00 |
| ETH | ? | 2173.2538 | -22.87 | -1.00 |
| AERO | ? | 0.3394 | 0.00 | 0.00 |
| TAO | ? | 305.9857 | -23.50 | -1.00 |
| SHIB | ? | ? | -23.50 | -1.00 |
| DOGE | ? | 0.0954 | -37.17 | -1.00 |
| SOL | ? | 91.7283 | -29.83 | -1.00 |
| PEPE | ? | ? | -29.83 | -1.00 |
| ETH | ? | 2161.5615 | -29.83 | -1.00 |
| PEPE | ? | ? | -37.17 | -1.00 |
| ETH | ? | 2163.1832 | -37.17 | -1.00 |
| BTC | ? | 71188.71 | -35.32 | -1.00 |
| XRP | ? | 1.4323 | -37.17 | -1.00 |
| TAO | ? | 313.4192 | 0.00 | 0.00 |
| SOL | ? | 90.1369 | -39.79 | -1.00 |
| AERO | ? | 0.3402 | -36.22 | -1.00 |
| BTC | ? | 70418.6724 | 0.00 | 0.00 |
| PEPE | ? | ? | -37.80 | -1.00 |
| SHIB | ? | ? | -39.79 | -1.00 |
| DOGE | ? | 0.0932 | -39.72 | -1.00 |
| TAO | ? | 307.1613 | -39.72 | -1.00 |
| SOL | ? | 90.6711 | 0.00 | 0.00 |
| BTC | ? | 70423.2153 | -46.59 | -1.00 |
| AERO | ? | 0.3432 | -44.26 | -1.00 |
| DOGE | ? | 0.0932 | -46.59 | -1.00 |
| XRP | ? | 1.4123 | -31.11 | -0.61 |
| PEPE | ? | ? | -50.68 | -1.00 |
| TAO | ? | 299.1092 | 0.00 | 0.00 |
| PEPE | ? | ? | -48.38 | -1.00 |
| PEPE | ? | ? | -56.32 | -1.00 |
| SHIB | ? | ? | -56.32 | -1.00 |
| PEPE | ? | ? | 0.00 | 0.00 |
| DOGE | ? | 0.0938 | 0.00 | 0.00 |
| SHIB | ? | ? | 0.00 | 0.00 |
| AERO | ? | 0.3509 | -46.71 | -1.00 |
| AERO | ? | 0.3532 | -51.82 | -1.00 |
| SOL | ? | 91.8342 | -50.55 | -1.00 |
| AERO | ? | 0.3478 | 0.00 | 0.00 |
| SHIB | ? | ? | -51.26 | -1.00 |
| SHIB | ? | ? | -53.00 | -1.00 |
| SOL | ? | 91.8483 | -48.92 | -1.00 |
| SHIB | ? | ? | 0.00 | 0.00 |
| AERO | ? | 0.3518 | -48.92 | -1.00 |
| PEPE | ? | ? | -46.86 | -1.00 |
| DOGE | ? | 0.0954 | -53.96 | -1.00 |
| SOL | ? | 90.9736 | 0.00 | 0.00 |
